Teste,Esperado,n
asl150,0,10
asl168,0,9
asl143,0,8
asl159,1,8
asl63,0,8
asl153,0,7
asl154,0,7
asl160,0,7
asl161,0,7
asl163,0,7
asl167,0,7
asl86,1,7
asl129,0,6
asl62,0,6
asl65,0,6
asl66,0,6
asl80,0,6
asl157,0,5
asl158,0,5
asl166,0,5
asl140,0,4
asl146,0,4
asl151,0,4
asl162,0,4
asl31,0,4
asl32,0,4
asl48,0,4
asl53,0,4
asl78,0,4
asl101,1,3
asl104,1,3
asl105,1,3
asl138,0,3
asl139,0,3
asl141,0,3
asl142,0,3
asl144,0,3
asl145,0,3
asl147,0,3
asl148,0,3
asl149,0,3
asl26,1,3
asl29,1,3
asl40,1,3
asl43,0,3
asl44,0,3
asl52,1,3
asl54,0,3
asl76,0,3
asl77,0,3
asl79,0,3
asl83,1,3
asl98,1,3
asl09,1,2
asl10,1,2
asl100,1,2
asl102,1,2
asl106,1,2
asl107,1,2
asl108,1,2
asl109,1,2
asl11,1,2
asl110,1,2
asl111,1,2
asl112,1,2
asl113,1,2
asl114,0,2
asl115,1,2
asl116,1,2
asl117,1,2
asl118,1,2
asl119,1,2
asl12,1,2
asl121,1,2
asl122,1,2
asl123,1,2
asl124,1,2
asl125,1,2
asl126,1,2
asl127,1,2
asl128,1,2
asl13,1,2
asl130,1,2
asl131,1,2
asl132,1,2
asl133,1,2
asl134,1,2
asl135,1,2
asl136,1,2
asl137,1,2
asl14,1,2
asl15,1,2
asl152,1,2
asl155,1,2
asl156,1,2
asl16,1,2
asl164,1,2
asl165,1,2
asl169,1,2
asl17,1,2
asl18,1,2
asl19,1,2
asl20,1,2
asl21,1,2
asl22,1,2
asl23,1,2
asl24,1,2
asl34,1,2
asl45,1,2
asl46,0,2
asl47,0,2
asl49,1,2
asl55,1,2
asl56,0,2
asl57,0,2
asl61,1,2
asl64,1,2
asl67,1,2
asl68,1,2
asl69,1,2
asl70,1,2
asl71,1,2
asl72,1,2
asl73,1,2
asl74,1,2
asl75,1,2
asl81,0,2
asl82,1,2
asl84,1,2
asl85,1,2
asl87,1,2
asl88,1,2
asl89,1,2
asl90,1,2
asl91,1,2
asl92,1,2
asl93,1,2
asl94,1,2
asl95,1,2
asl96,1,2
asl97,1,2
asl99,1,2
asl01,0,1
asl02,0,1
asl03,0,1
asl04,0,1
asl05,0,1
asl06,0,1
asl07,0,1
asl08,0,1
asl103,0,1
asl120,0,1
asl25,0,1
asl27,0,1
asl28,0,1
asl30,0,1
asl33,0,1
asl35,0,1
asl36,0,1
asl37,0,1
asl38,0,1
asl39,0,1
asl41,0,1
asl42,0,1
asl50,0,1
asl51,0,1
asl58,0,1
asl59,0,1
asl60,0,1
